0:000 secondswhy decide to leave at a time like now instead of perhaps you know looking at an extension uh I wanted to understand and with the new CEO coming in um any
0:077 secondsmandate for the new CEO that you could highlight for us more clearly and perhaps that's something the investors would also want to know um and then on the earnings of course uh you know the
0:1616 secondsreason for this revision downwards you know if you could give us a little more color on what you're seeing in the environment where's the weakness where's momentum picking up uh you know some of
0:2424 secondsyour competitors like TechM have been talking about irrational competitive pricing whipros has also you know spoken about that a bit. So what are you seeing
0:3232 secondsin the environment and with a 1% kind of a growth in the first quarter? Do we assume the second half will be meaningfully better if you're to reach
0:3939 secondsthat upper end of the 3% guidance you're speaking about and just on AI if you could update us you know how the revenue is moving is it proceeding as per you
0:4848 secondsknow what your expectations were any updates you could share on that front as well as far as revenue contribution uh from AI is concerned
0:5656 secondsum so let me start with the first one I think you've had that question collectively for some time now we have
1:021 minute, 2 secondsthe answer uh as I as I look at it. I'm really delighted with the uh role I've
1:091 minute, 9 secondsplayed here. We've taken the business as Nandan said from uh 10 billion to 20 billion. It's working very well. The digital transformation now the AI
1:181 minute, 18 secondstransformation is launched. The question on the guidance uh we we had a one-time impact that I shared with a client decision.
1:291 minute, 29 secondsThere are factors related to what is going on in the macro environment which we we talked about. There are factors related to the volumes in the quarter.
1:421 minute, 42 secondsBut we look at the large deal number 3.6 billion 61% net new. So we see a lot of
1:501 minute, 50 secondssupport in that. We we decided to look at our guidance in a different way.
1:541 minute, 54 secondsuh the upper end of the guidance was really based on if the macro was improving uh we now see the macro it may
2:042 minutes, 4 secondsimprove but not at the level that we were thinking initially and so that's how we've really constructed the guidance there uh I think as I shared
2:122 minutes, 12 secondsearlier you know my sense is we've had a tremendous I've been fortunate to have a tremendous sort of uh uh opportunity and
2:202 minutes, 20 secondswhat we've done at Infosys over the last many and having taken the business from about 10 billion to 20 billion. So it's been
2:292 minutes, 29 secondsan incredible journey. Uh and that you know with the team we have and and with the client work we've done that that's been a fantastic sort of an outcome on
2:382 minutes, 38 secondsthe mandate. I think our AI strategy is well uh uh uh like put together and Dash
2:462 minutes, 46 secondshas been part of
